corpus	lang	featspertokens	analysesperlength	analysespertypes
UD_French-Spoken/fr_spoken-ud-train.conllu	fr	1.0000	0.1459	1.0214
UD_Galician-CTG/gl_ctg-ud-train.conllu	gl	1.0000	0.1242	1.0137
UD_Galician-TreeGal/gl_treegal-ud-train.conllu	gl	2.1668	0.1472	1.0746
UD_German-GSD/de_gsd-ud-train.conllu	de	2.6018	0.1452	1.3508
UD_Gothic-PROIEL/got_proiel-ud-train.conllu	got	3.3781	0.1436	1.1372
UD_Greek-GDT/el_gdt-ud-train.conllu	el	3.0738	0.1362	1.1297
UD_Hebrew-HTB/he_htb-ud-train.conllu	he	1.7708	0.1996	1.1165
UD_Hindi_English-HIENCS/qhe_hiencs-ud-train.conllu	qhe	1.0000	1.0000	1.0000
UD_Hindi-HDTB/hi_hdtb-ud-train.conllu	hi	3.0358	0.2909	1.7013
UD_Hungarian-Szeged/hu_szeged-ud-train.conllu	hu	3.3891	0.1285	1.0940
UD_Indonesian-GSD/id_gsd-ud-train.conllu	id	1.2097	0.1452	1.0051
UD_Irish-IDT/ga_idt-ud-train.conllu	ga	2.1972	0.1649	1.1298
UD_Italian-ISDT/it_isdt-ud-train.conllu	it	2.0356	0.1374	1.0835
UD_Italian-ParTUT/it_partut-ud-train.conllu	it	2.0286	0.1331	1.0452
UD_Italian-PoSTWITA/it_postwita-ud-train.conllu	it	1.9375	0.1229	1.0595
UD_Japanese-GSD/ja_gsd-ud-train.conllu	ja	1.0000	0.3330	1.0143
UD_Kazakh-KTB/kk_ktb-ud-train.conllu	kk	1.9031	0.1722	1.0146
UD_Korean-GSD/ko_gsd-ud-train.conllu	ko	1.0000	0.2747	1.0059
UD_Korean-Kaist/ko_kaist-ud-train.conllu	ko	1.0000	0.2650	1.0249
UD_Kurmanji-MG/kmr_mg-ud-train.conllu	kmr	2.7479	0.1912	1.0237
UD_Latin-ITTB/la_ittb-ud-train.conllu	la	3.1982	0.1438	1.2593
UD_Latin-Perseus/la_perseus-ud-train.conllu	la	2.8869	0.1541	1.1205
UD_Latin-PROIEL/la_proiel-ud-train.conllu	la	3.3640	0.1420	1.1665
UD_Latvian-LVTB/lv_lvtb-ud-train.conllu	lv	3.0517	0.1385	1.0892
UD_Lithuanian-HSE/lt_hse-ud-train.conllu	lt	2.8626	0.1406	1.0394
UD_Maltese-MUDT/mt_mudt-ud-train.conllu	mt	1.0000	0.1457	1.0000
UD_Marathi-UFAL/mr_ufal-ud-train.conllu	mr	2.4756	0.2410	1.3344
UD_North_Sami-Giella/sme_giella-ud-train.conllu	sme	2.3787	0.1307	1.0663
UD_Norwegian-Bokmaal/no_bokmaal-ud-train.conllu	no	2.0908	0.1227	1.0919
UD_Norwegian-NynorskLIA/no_nynorsklia-ud-train.conllu	no	2.1234	0.1964	1.0683
UD_Norwegian-Nynorsk/no_nynorsk-ud-train.conllu	no	2.0660	0.1245	1.1119
UD_Old_Church_Slavonic-PROIEL/cu_proiel-ud-train.conllu	cu	3.5364	0.1635	1.1451
UD_Old_French-SRCMF/fro_srcmf-ud-train.conllu	fro	1.1043	0.1630	1.0620
UD_Persian-Seraji/fa_seraji-ud-train.conllu	fa	1.3226	0.1762	1.0600
UD_Polish-LFG/pl_lfg-ud-train.conllu	pl	3.3161	0.1421	1.1167
UD_Polish-SZ/pl_sz-ud-train.conllu	pl	3.2877	0.1394	1.1181
UD_Portuguese-Bosque/pt_bosque-ud-train.conllu	pt	2.0396	0.1493	1.1660
UD_Portuguese-GSD/pt_gsd-ud-train.conllu	pt	1.1839	0.1394	1.0388
UD_Romanian-Nonstandard/ro_nonstandard-ud-train.conllu	ro	2.9805	0.1788	1.2462
UD_Romanian-RRT/ro_rrt-ud-train.conllu	ro	2.8407	0.1355	1.0711
UD_Russian-GSD/ru_gsd-ud-train.conllu	ru	2.9828	0.1394	1.1183
UD_Russian-SynTagRus/ru_syntagrus-ud-train.conllu	ru	2.8313	0.1301	1.1687
UD_Russian-Taiga/ru_taiga-ud-train.conllu	ru	2.6908	0.1554	1.0586
UD_Serbian-SET/sr_set-ud-train.conllu	sr	2.5931	0.1513	1.1620
UD_Slovak-SNK/sk_snk-ud-train.conllu	sk	3.2850	0.1518	1.1281
UD_Slovenian-SSJ/sl_ssj-ud-train.conllu	sl	2.8175	0.1507	1.1415
UD_Slovenian-SST/sl_sst-ud-train.conllu	sl	2.7044	0.1698	1.1268
UD_Spanish-AnCora/es_ancora-ud-train.conllu	es	2.0439	0.1360	1.0808
UD_Spanish-GSD/es_gsd-ud-train.conllu	es	2.0377	0.1452	1.1069
UD_Swedish-LinES/sv_lines-ud-train.conllu	sv	2.6271	0.1354	1.0630
UD_Swedish_Sign_Language-SSLC/swl_sslc-ud-train.conllu	swl	1.0000	0.1031	1.0000
UD_Swedish-Talbanken/sv_talbanken-ud-train.conllu	sv	2.6327	0.1198	1.0624
UD_Tamil-TTB/ta_ttb-ud-train.conllu	ta	3.2462	0.1159	1.0214
UD_Telugu-MTG/te_mtg-ud-train.conllu	te	1.0000	0.1443	1.0006
UD_Turkish-IMST/tr_imst-ud-train.conllu	tr	3.1073	0.1309	1.0402
UD_Ukrainian-IU/uk_iu-ud-train.conllu	uk	2.8580	0.1425	1.1048
UD_Upper_Sorbian-UFAL/hsb_ufal-ud-train.conllu	hsb	2.6957	0.1545	1.0133
UD_Urdu-UDTB/ur_udtb-ud-train.conllu	ur	2.9800	0.3590	1.8858
UD_Uyghur-UDT/ug_udt-ud-train.conllu	ug	1.5497	0.1291	1.0282
UD_Vietnamese-VTB/vi_vtb-ud-train.conllu	vi	1.0000	0.1633	1.0030
